"Verb","Form","Tense","Person","Number","Mood"
"ula","pullam","NFUT",3,"PL","RLS"
"ula","ngula","NFUT",1,"SG","IRR"
"ula","thula","NFUT",2,"SG","IRR"
"ula","kula","NFUT",3,"SG","IRR"
"ula","pula","NFUT","1+2","SG","IRR"
"ula","ngulla","NFUT",1,"PAUC","IRR"
"ula","nulla","NFUT",2,"PAUC","IRR"
"ula","kulla","NFUT",3,"PAUC","IRR"
"ula","ngulla","NFUT",1,"PL","IRR"
"ula","nulla","NFUT",2,"PL","IRR"
"ula","kulla","NFUT",3,"PL","IRR"
"ula","ngule","PST",1,"SG","RLS"
"ula","thule","PST",2,"SG","RLS"
"ula","wule","PST",3,"SG","RLS"
"ula","thule","PST","1+2","SG","RLS"
"ula","ngulle","PST",1,"PAUC","RLS"
"ula","nulle","PST",2,"PAUC","RLS"
"ula","pulle","PST",3,"PAUC","RLS"
"ula","ngulle","PST",1,"PL","RLS"
"ula","nulle","PST",2,"PL","RLS"
"ula","pulle","PST",3,"PL","RLS"
"ula","ngule","PST",1,"SG","IRR"
"ula","thule","PST",2,"SG","IRR"
"ula","wule","PST",3,"SG","IRR"
"ula","thule","PST","1+2","SG","IRR"
"ula","ngulle","PST",1,"PAUC","IRR"
"ula","nulle","PST",2,"PAUC","IRR"
"ula","pulle","PST",3,"PAUC","IRR"
"ula","ngulle","PST",1,"PL","IRR"
"ula","nulle","PST",2,"PL","IRR"
"ula","pulle","PST",3,"PL","IRR"
"ba","bam","NFUT",1,"SG","RLS"
"ba","dam","NFUT",2,"SG","RLS"
"ba","bam","NFUT",3,"SG","RLS"
"ba","thubam","NFUT","1+2","SG","RLS"
"ba","ngubam","NFUT",1,"PL","RLS"
"ba","nubam","NFUT",2,"PL","RLS"
"ba","pubam","NFUT",3,"PL","RLS"
"ba","ba","NFUT",1,"SG","IRR"
"ba","da","NFUT",2,"SG","IRR"
"ba","ba","NFUT",3,"SG","IRR"
"ba","puba","NFUT","1+2","SG","IRR"
"ba","nguba","NFUT",1,"PAUC","IRR"
"ba","nuba","NFUT",2,"PAUC","IRR"
"ba","kuba","NFUT",3,"PAUC","IRR"
"ba","nguba","NFUT",1,"PL","IRR"
"ba","nuba","NFUT",2,"PL","IRR"
"ba","kuba","NFUT",3,"PL","IRR"
"ba","be","PST",1,"SG","RLS"
"ba","de","PST",2,"SG","RLS"
"ba","be","PST",3,"SG","RLS"
"ba","thube","PST","1+2","SG","RLS"
"ba","ngube","PST",1,"PAUC","RLS"
"ba","nube","PST",2,"PAUC","RLS"
"ba","pube","PST",3,"PAUC","RLS"
"ba","ngube","PST",1,"PL","RLS"
"ba","nube","PST",2,"PL","RLS"
"ba","pube","PST",3,"PL","RLS"
"ba","be","PST",1,"SG","IRR"
"ba","de","PST",2,"SG","IRR"
"ba","be","PST",3,"SG","IRR"
"ba","thube","PST","1+2","SG","IRR"
"ba","ngube","PST",1,"PAUC","IRR"
"ba","nube","PST",2,"PAUC","IRR"
"ba","pube","PST",3,"PAUC","IRR"
"ba","ngube","PST",1,"PL","IRR"
"ba","nube","PST",2,"PL","IRR"
"ba","pube","PST",3,"PL","IRR"
"rdi","ngurdam","NFUT",1,"SG","RLS"
"rdi","thurdam","NFUT",2,"SG","RLS"
"rdi","wurdam","NFUT",3,"SG","RLS"
"rdi","thurdam","NFUT","1+2","SG","RLS"
"rdi","nguddam","NFUT",1,"PL","RLS"
"rdi","nuddam","NFUT",2,"PL","RLS"
"rdi","puddam","NFUT",3,"PL","RLS"
"rdi","ngurdi","NFUT",1,"SG","IRR"
"rdi","thurdi","NFUT",2,"SG","IRR"
"rdi","kurdi","NFUT",3,"SG","IRR"
"rdi","purdi","NFUT","1+2","SG","IRR"
"rdi","ngudde","NFUT",1,"PAUC","IRR"
"rdi","nudde","NFUT",2,"PAUC","IRR"
"rdi","kudde","NFUT",3,"PAUC","IRR"
"rdi","nguddi","NFUT",1,"PL","IRR"
"rdi","nuddi","NFUT",2,"PL","IRR"
"rdi","kuddi","NFUT",3,"PL","IRR"
"rdi","ngurdana","PST",1,"SG","RLS"
"rdi","thurdana","PST",2,"SG","RLS"
"rdi","wurdana","PST",3,"SG","RLS"
"rdi","thurdana","PST","1+2","SG","RLS"
"rdi","nguddana","PST",1,"PAUC","RLS"
"rdi","nuddana","PST",2,"PAUC","RLS"
"rdi","puddana","PST",3,"PAUC","RLS"
"rdi","nguddana","PST",1,"PL","RLS"
"rdi","nuddana","PST",2,"PL","RLS"
"rdi","puddana","PST",3,"PL","RLS"
"rdi","ngurdana","PST",1,"SG","IRR"
"rdi","thurdana","PST",2,"SG","IRR"
"rdi","wurdana","PST",3,"SG","IRR"
"rdi","thurdana","PST","1+2","SG","IRR"
"rdi","nguddana","PST",1,"PAUC","IRR"
"rdi","nuddana","PST",2,"PAUC","IRR"
"rdi","puddana","PST",3,"PAUC","IRR"
"rdi","nguddana","PST",1,"PL","IRR"
"rdi","nuddana","PST",2,"PL","IRR"
"rdi","puddana","PST",3,"PL","IRR"
"a","ngam","NFUT",1,"SG","RLS"
"a","tham","NFUT",2,"SG","RLS"
"a","dam","NFUT",3,"SG","RLS"
"a","tham","NFUT","1+2","SG","RLS"
"a","ngarram","NFUT",1,"PL","RLS"
