Tense: PRS

portaːre,1IND,2IND,3IND,3SUBJ,2SUBJ,1SUBJ
SG,portoː,portaːs,portat,portet,porteːs,portem
PL,portaːmus,portaːtis,portant,portent,porteːtis,porteːmus
