Verb: portaːre;Mood: IND

,SG:1,SG:2,SG:3,PL:1,PL:2,PL:3
PRS,portoː,portaːs,portat,portaːmus,portaːtis,portant
PST.IPFV,portaːbam,portaːbaːs,portaːbat,portaːbaːmus,portaːbaːtis,portaːbant
FUT,portaːboː,portaːbis,portaːbit,portaːbimus,portaːbitis,portaːbunt


